smiles,cluster_index
CN1CCN(CC1)C(=O)C1=C(C=CC=C1)C(O)=O,1
NC1=C(C=CC=C1)C(=O)N1CCCC1,1
NC1=C(C=CC=C1)C(=O)N1CCCCC1,1
CN1CCCN(CC1)C(=O)C1=C(N)C=CC=C1,1
CN1CCN(CC1)C(=O)C1=C(N)C=CC=C1,1
CC1CCN(CC1)C(=O)C1=C(N)C=CC=C1,1
CC1CC(C)CN(C1)C(=O)C1=C(N)C=CC=C1,1
CC1CN(CC(C)O1)C(=O)C1=C(N)C=CC=C1,1
ClC(=O)N1C2=CC=CC=C2SC2=C1C=CC=C2,1
CC(Cl)C(=O)N1C2=C(SC3=C1C=CC=C3)C=CC=C2,1
CN(C)CC(=O)N1C2=CC=CC=C2SC2=CC=CC=C12,1
NNC(=O)CN1C2=CC=CC=C2SC2=C1C=CC=C2,1
CN1C2=CC=CC=C2SC2=CC=C(CC(O)=O)C=C12,1
CN1C2=CC=CC=C2SC2=C1C=CC=C2,1
O1C2=CC=CC=C2SC2=CC=CC=C12,1
S1C2=CC=CC=C2SC2=CC=CC=C12,1
C1C2=CC=CC=C2SC2=CC=CC=C12,1
CC(CN(C)C)CN1C2=C(SC3=C1C=CC=C3)C=CC=C2,1
CC(CN(C)C)CN1C2=CC=CC=C2CCC2=CC=CC=C12,1
CC(CN(C)C)CN1C2=CC=CC=C2S(=O)(=O)C2=CC=CC=C12,1
CCN(CC)C(C)CN1C2=CC=CC=C2SC2=CC=CC=C12,1
CC(CN1C2=CC=CC=C2SC2=CC=CC=C12)N(C)C,1
NC1=C(C#N)C(C2=CC=C(Cl)C=C2)C(C#N)=C2SC3=CC=CC=C3N12,1
NC1=C(C#N)C(C2=CC=CC=C2)C(C#N)=C2SC3=C(C=CC=C3)N12,1
CC1=CC=C(C=C1)C1C(C#N)=C2SC3=C(C=CC=C3)N2C(N)=C1C#N,1
ClC1=CC=C2SC3=CC=CC=C3NC2=C1,1
N1C2=CC=CC=C2SC2=CC=CC=C12,1
FC(F)(F)C1=CC2=C(SC3=CC=CC=C3N2)C=C1,1
CC(=O)C1=CC2=C(SC3=C(N2)C=CC=C3)C=C1,1
CC(O)C1=CC2=C(SC3=C(N2)C=CC=C3)C=C1,1
NC(=O)C1CCN(CCCN2C3=C(SC4=C2C=C(Cl)C=C4)C=CC=C3)CC1,1
CS(=O)(=O)C1=CC=C2SC3=CC=CC=C3N(CCCN3CCC(CC3)C(N)=O)C2=C1,1
ClC1=CC=C2SC3=C(C=CC=C3)N(CCCN3CCC4(CC3)NC(=O)CS4)C2=C1,1
OCCN1CCN(CCCN2C3=CC=CC=C3SC3=CC=C(Cl)C=C23)CC1,1
COC1=CC=C2SC3=C(C=CC=C3)N(CC(C)CN3CCC(O)CC3)C2=C1,1
OC1CCN(CCCN2C3=C(SC4=C2C=C(C=C4)C#N)C=CC=C3)CC1,1
CSC1=CC=C2SC3=CC=CC=C3N(CCC3CCCCN3C)C2=C1,1
